Pagina,Tipo_Evasion,Texto_Detectado,Contexto_80chars,Personas_en_Pagina
9,Fifth Amendment,Fifth Amendment,"and because the Defendants counsel initially suggested that she may invoke her Fifth Amendment rights. Instead, during her recent deposition, Defendant simply failed to recal",
11,Fifth Amendment,Fifth Amendment,"adings before her deposition, Defendant had suggested that she might invoke her Fifth Amendment right to remain silent during questioning. Indeed, just a week before her depos",Ghislaine Maxwell
27,Decline to answer,refuse to answer,"cinkova, it appears likely that they will invoke their Fifth Amendment right to refuse to answer some questions about Defendants involvement in in the sexual abuse of Ms. Giuff",
27,Fifth Amendment,Fifth Amendment,"Epstein, Kellan, and Marcinkova, it appears likely that they will invoke their Fifth Amendment right to refuse to answer some questions about Defendants involvement in in the",
28,Fifth Amendment,Fifth Amendment,ant at trial. The Second Circuit has squarely held that a witness invocation of Fifth Amendment rights can in proper circumstances be used against a party. The Second Circuits,Jeffrey Epstein
28,Fifth Amendment,Fifth Amendment,"upheld the drawing of adverse inferences based on a non-partys invocation of a Fifth Amendment right to remain silent. The Second Circuit instructed that, the circumstances o",Jeffrey Epstein
47,Objection,Objection,"ou started working for 9 Ms. Maxwell 10 A. At that time, yes. 11 MS. MENNINGER: Objection, leading. 12 Sorry. 13 BY MS. McCAWLEY: 14 Q. Did you then start working for Ms",
50,Objection,Objection,"day when you were doing the 20 massage with Emmy and Jeffrey 21 MS. MENNINGER: Objection, asked and 22 answered. 23 BY MS. McCAWLEY: 24 Q. You can answer. 25 A. I dont",
51,Objection,Objection,"do you recall who was on the plane 15 with you for that trip 16 MS. MENNINGER: Objection, leading, form. 17 MS. McCAWLEY: Actually, Im going to stop 18 really quickly a",
52,Objection,Objection,"m pilot David 14 Rogers that have been produced in this case. 15 MS. MENNINGER: Objection, foundation, 16 asking the witness any questions about this 17 document. 18 THE",
